img1_idx,img2_idx,sum
23734,43045,5
18465,55590,12
35999,49820,5
59019,55431,14
28794,31685,2
58804,30080,9
43448,39841,11
44675,33662,2
42206,50415,8
52000,33180,8
20682,5851,13
51894,23054,11
29954,9631,16
25224,20202,18
45588,41134,7
16906,8426,6
39935,7987,3
51419,44258,8
3994,27841,6
21621,1787,8
12549,7480,7
56250,888,15
51504,42772,15
31854,26052,15
33015,53766,13
33164,44621,12
13308,21353,9
40537,33005,2
938,36081,4
16721,46645,16
59320,27128,15
16336,19153,10
5449,35286,3
41,46609,17
42029,51623,8
14637,52840,6
18436,27889,12
9299,4971,2
47687,733,6
745,9759,3
58889,46818,1
17385,24358,8
21626,34121,11
41825,4125,8
59621,5678,7
19117,43584,7
42985,10656,5
53633,44120,5
6810,19068,5
46277,54578,11
21567,44744,7
26057,2485,7
48695,45816,1
50801,5500,5
56877,59009,11
29101,1308,4
13409,32409,12
32854,13364,8
25848,26793,9
2920,23010,8
59299,38907,8
44020,11398,11
41666,14617,8
5192,22765,9
41011,8226,3
7872,14355,10
48937,18663,5
37297,9359,15
15452,46099,15
58626,51237,9
51034,27426,9
14159,31545,11
25468,6533,13
5266,44528,4
7515,26362,8
32068,31798,18
41062,31751,8
45681,4731,5
57960,30706,1
46045,43517,9
39594,28016,1
8632,8074,8
24226,13030,2
34355,41890,6
24053,21204,14
22202,14803,3
34018,48080,10
33928,50017,10
23572,6599,12
25956,14580,13
58540,14031,11
22290,22642,9
44825,13842,16
59174,48685,13
55212,5157,10
53094,59812,14
57510,14296,9
29193,26865,12
29832,39992,6
52249,29230,7
4161,56943,15
5378,27596,13
15103,14689,5
6430,53545,6
40252,56135,17
34974,30250,15
37505,28605,10
56310,45655,8
3280,40722,7
31080,2103,9
32315,36256,6
46333,28567,6
31286,12952,2
48939,49486,7
35587,47132,3
24983,32641,17
56040,44619,2
56531,37838,9
20468,40230,10
11761,9436,12
44504,27757,9
46553,32590,4
32521,57412,3
27164,33143,13
17883,6557,6
38525,57068,1
15213,39801,7
59438,16249,11
55755,12098,9
59517,14174,3
9966,43105,2
28235,41411,4
2882,31960,3
6258,25153,5
55463,48239,11
12552,16276,11
55027,15806,6
26234,25384,12
15173,8128,12
5067,17957,11
556,58074,1
55246,27091,1
12754,5060,12
23539,26354,16
49702,29947,11
44520,31855,2
44292,41356,8
50867,56703,18
39557,4073,10
37154,41861,3
21195,10091,9
